  itmf,  dt,  <f_i>,  <CW sin theta>,  <Current>,  <Lorenz force>
 55270, 1.798604E-05, 4.373271E-04, 2.687676E-01, 1.167989E+01, 3.932521E+02
 55280, 1.398377E-05, 4.389579E-04, 2.693121E-01, 1.169231E+01, 3.943213E+02
 55290, 9.700701E-06, 4.395237E-04, 2.700320E-01, 1.170690E+01, 3.957781E+02
 55300, 7.262625E-06, 4.398557E-04, 2.708428E-01, 1.172225E+01, 3.975082E+02
 55310, 6.126912E-06, 4.396458E-04, 2.714963E-01, 1.173472E+01, 3.991142E+02
 55320, 6.019751E-06, 4.385164E-04, 2.717917E-01, 1.174054E+01, 4.000855E+02
 55330, 6.783647E-06, 4.366179E-04, 2.717181E-01, 1.174016E+01, 4.002991E+02
 55340, 8.326476E-06, 4.350341E-04, 2.715040E-01, 1.173753E+01, 4.000710E+02
 55350, 1.060881E-05, 4.355672E-04, 2.713340E-01, 1.173634E+01, 3.997536E+02
 55360, 1.278713E-05, 4.358939E-04, 2.713183E-01, 1.173863E+01, 3.996631E+02
 55370, 1.288720E-05, 4.361463E-04, 2.714898E-01, 1.174313E+01, 3.998179E+02
 55380, 1.345452E-05, 4.358597E-04, 2.717368E-01, 1.174845E+01, 4.001152E+02
 55390, 1.402992E-05, 4.353344E-04, 2.718799E-01, 1.175402E+01, 4.004765E+02
 55400, 1.289652E-05, 4.337673E-04, 2.717685E-01, 1.175583E+01, 4.006001E+02
 55410, 1.488114E-05, 4.312913E-04, 2.714087E-01, 1.174670E+01, 3.999385E+02
 55420, 1.704989E-05, 4.311356E-04, 2.708506E-01, 1.173466E+01, 3.989428E+02
 55430, 1.832381E-05, 4.307297E-04, 2.703676E-01, 1.172611E+01, 3.980265E+02
 55440, 1.980438E-05, 4.309367E-04, 2.699406E-01, 1.171994E+01, 3.971970E+02
 55450, 2.088168E-05, 4.312633E-04, 2.695700E-01, 1.171547E+01, 3.964111E+02
 55460, 2.156541E-05, 4.319018E-04, 2.692920E-01, 1.171357E+01, 3.957118E+02
 55470, 2.155498E-05, 4.330828E-04, 2.690322E-01, 1.171354E+01, 3.950988E+02
 55480, 1.988465E-05, 4.342929E-04, 2.688925E-01, 1.171530E+01, 3.946406E+02
 55490, 1.892476E-05, 4.349322E-04, 2.688002E-01, 1.171760E+01, 3.943911E+02
 55500, 1.850676E-05, 4.338598E-04, 2.687515E-01, 1.171930E+01, 3.943026E+02
 55510, 1.839008E-05, 4.329355E-04, 2.687141E-01, 1.172072E+01, 3.942788E+02
 55520, 1.812220E-05, 4.326845E-04, 2.686877E-01, 1.172284E+01, 3.942679E+02
 55530, 1.786692E-05, 4.329237E-04, 2.686916E-01, 1.172572E+01, 3.942694E+02
 55540, 1.769637E-05, 4.339921E-04, 2.687374E-01, 1.172994E+01, 3.943317E+02
 55550, 1.674222E-05, 4.359097E-04, 2.688121E-01, 1.173559E+01, 3.945314E+02
 55560, 1.366360E-05, 4.377440E-04, 2.689198E-01, 1.174200E+01, 3.948068E+02
 55570, 1.170211E-05, 4.384741E-04, 2.689851E-01, 1.174808E+01, 3.951019E+02
 55580, 1.126519E-05, 4.366000E-04, 2.689637E-01, 1.175125E+01, 3.953005E+02
 55590, 1.185095E-05, 4.350011E-04, 2.690105E-01, 1.175348E+01, 3.954208E+02
 55600, 1.366824E-05, 4.319343E-04, 2.690526E-01, 1.175348E+01, 3.954133E+02
 55610, 1.672696E-05, 4.317860E-04, 2.690239E-01, 1.175358E+01, 3.953472E+02
 55620, 2.002055E-05, 4.324265E-04, 2.690706E-01, 1.175512E+01, 3.953567E+02
 55630, 2.119895E-05, 4.327193E-04, 2.691759E-01, 1.175850E+01, 3.954886E+02
 55640, 1.808381E-05, 4.325283E-04, 2.695294E-01, 1.176626E+01, 3.960037E+02
 55650, 1.179074E-05, 4.322645E-04, 2.698707E-01, 1.177697E+01, 3.967870E+02
 55660, 9.753033E-06, 4.314121E-04, 2.699969E-01, 1.178341E+01, 3.972919E+02
 55670, 1.669642E-05, 4.287088E-04, 2.697852E-01, 1.177452E+01, 3.966427E+02
 55680, 2.340912E-05, 4.285609E-04, 2.695997E-01, 1.176943E+01, 3.962431E+02
 55690, 2.424056E-05, 4.285163E-04, 2.695110E-01, 1.176851E+01, 3.960954E+02
 55700, 2.323440E-05, 4.302849E-04, 2.697381E-01, 1.177375E+01, 3.962497E+02
 55710, 1.475727E-05, 4.322542E-04, 2.702106E-01, 1.178408E+01, 3.967549E+02
 55720, 9.325862E-06, 4.347510E-04, 2.709932E-01, 1.179878E+01, 3.975257E+02
 55730, 5.901255E-06, 4.386912E-04, 2.721924E-01, 1.182068E+01, 3.987144E+02
 55740, 3.845754E-06, 4.439350E-04, 2.728805E-01, 1.184947E+01, 4.004022E+02
 55750, 5.760786E-06, 4.335820E-04, 2.722140E-01, 1.182045E+01, 3.995525E+02
 55760, 7.251288E-06, 4.335963E-04, 2.712401E-01, 1.180348E+01, 3.988568E+02
 55770, 9.164100E-06, 4.316486E-04, 2.706979E-01, 1.179433E+01, 3.983767E+02
 55780, 1.232901E-05, 4.305413E-04, 2.703324E-01, 1.178941E+01, 3.980502E+02
 55790, 1.828084E-05, 4.305300E-04, 2.701010E-01, 1.178710E+01, 3.978253E+02
 55800, 1.835169E-05, 4.297574E-04, 2.700057E-01, 1.178683E+01, 3.977146E+02
 55810, 1.806320E-05, 4.298322E-04, 2.699515E-01, 1.178849E+01, 3.977473E+02
 55820, 1.832361E-05, 4.306857E-04, 2.701346E-01, 1.179280E+01, 3.979235E+02
 55830, 1.901148E-05, 4.312828E-04, 2.703208E-01, 1.179845E+01, 3.982821E+02
 55840, 1.765358E-05, 4.310148E-04, 2.705027E-01, 1.180328E+01, 3.986676E+02
 55850, 1.686671E-05, 4.300472E-04, 2.706022E-01, 1.180535E+01, 3.988881E+02
 55860, 1.698893E-05, 4.279736E-04, 2.705037E-01, 1.180394E+01, 3.988764E+02
 55870, 1.818361E-05, 4.260180E-04, 2.703608E-01, 1.180014E+01, 3.986418E+02
 55880, 2.077555E-05, 4.252803E-04, 2.701828E-01, 1.179527E+01, 3.982281E+02
 55890, 2.484915E-05, 4.249830E-04, 2.699833E-01, 1.179040E+01, 3.977557E+02
 55900, 2.546208E-05, 4.249616E-04, 2.698055E-01, 1.178642E+01, 3.972833E+02
 55910, 2.559654E-05, 4.253347E-04, 2.696717E-01, 1.178438E+01, 3.969291E+02
 55920, 2.533766E-05, 4.261852E-04, 2.696596E-01, 1.178524E+01, 3.968238E+02
 55930, 2.135464E-05, 4.273861E-04, 2.699494E-01, 1.179082E+01, 3.971939E+02
 55940, 1.611344E-05, 4.300889E-04, 2.706871E-01, 1.180641E+01, 3.985391E+02
 55950, 1.090931E-05, 4.334765E-04, 2.721281E-01, 1.183409E+01, 4.012444E+02
 55960, 7.371278E-06, 4.362206E-04, 2.738463E-01, 1.186615E+01, 4.047561E+02
 55970, 5.235732E-06, 4.375044E-04, 2.755080E-01, 1.189712E+01, 4.085795E+02
